Hemolysis_x,Hemolysis_y,Bb_x,Bb_y,C5a_x,C5a_y
1.04E-06,4.336631807,9.45E-07,2.469242358,9.82E-07,0.017704137
1.01E-05,6.047498811,9.83E-06,2.390012456,1.02E-05,0.018630642
0.000103168,12.61206961,9.87E-05,2.44121791,9.91E-05,0.018627022
0.001021885,31.45381374,0.000989555,2.557640772,0.000995608,0.019553581
0.00996182,56.57690197,0.009600426,2.627480307,0.010166071,0.022805695
0.100360506,76.27517431,0.096573705,2.548250943,0.098652151,0.028383471
1.011583772,99.39962537,0.95344536,2.580823119,0.985013947,0.064658877
10.3719897,124.2371493,9.419749613,2.571469819,9.871360925,0.179073811
108.1746768,150.5022313,94.55573014,2.618016886,97.0915579,0.204651566
